100 10
0 1 9.76
0 2 1.40
0 3 1.45
0 4 2.13
0 5 6.70
0 6 9.56
0 7 5.17
0 8 4.03
0 9 6.55
0 10 5.18
0 11 1.19
0 12 0.49
0 13 5.90
0 14 4.88
0 15 9.63
0 16 4.61
0 17 8.29
0 18 4.83
0 19 1.00
0 20 4.30
0 21 1.37
0 22 2.81
0 23 4.59
0 24 1.07
0 25 0.11
0 26 5.36
0 27 5.56
0 28 5.71
0 29 9.80
0 30 2.46
0 31 5.63
0 32 3.95
0 33 8.59
0 34 3.37
0 35 3.70
0 36 7.61
0 37 7.58
0 38 7.51
0 39 9.22
0 40 4.20
0 41 9.75
0 42 2.32
0 43 3.22
0 44 6.54
0 45 9.27
0 46 4.21
0 47 3.45
0 48 2.29
0 49 4.40
0 50 3.21
0 51 1.71
0 52 7.25
0 53 4.33
0 54 1.61
0 55 9.07
0 56 0.96
0 57 2.04
0 58 2.33
0 59 2.16
0 60 0.30
0 61 8.16
0 62 6.79
0 63 2.19
0 64 0.89
0 65 1.89
0 66 0.34
0 67 8.80
0 68 9.51
0 69 6.27
0 70 0.10
0 71 7.03
0 72 6.05
0 73 0.51
0 74 9.56
0 75 8.04
0 76 6.67
0 77 3.31
0 78 3.01
0 79 1.69
0 80 4.32
0 81 9.58
0 82 4.84
0 83 8.46
0 84 6.16
0 85 0.22
0 86 1.03
0 87 0.36
0 88 6.56
0 89 1.17
0 90 6.58
0 91 4.06
0 92 9.37
0 93 2.60
0 94 2.79
0 95 6.84
0 96 0.40
0 97 5.97
0 98 3.20
0 99 6.80
1 2 9.49
1 3 1.67
1 4 9.88
1 5 4.10
1 6 8.91
1 7 9.04
1 8 2.98
1 9 4.38
1 10 1.55
1 11 7.13
1 12 8.38
1 13 9.47
1 14 2.81
1 15 8.50
1 16 10.00
1 17 3.46
1 18 7.78
1 19 7.38
1 20 1.87
1 21 5.45
1 22 9.97
1 23 4.09
1 24 2.82
1 25 1.96
1 26 2.88
1 27 9.77
1 28 5.08
1 29 7.21
1 30 0.63
1 31 1.99
1 32 8.57
1 33 6.49
1 34 0.96
1 35 4.32
1 36 2.57
1 37 6.91
1 38 1.06
1 39 4.87
1 40 0.92
1 41 1.61
1 42 2.97
1 43 9.75
1 44 2.37
1 45 4.98
1 46 0.76
1 47 1.71
1 48 2.23
1 49 1.87
1 50 9.17
1 51 4.68
1 52 4.27
1 53 6.88
1 54 4.39
1 55 3.34
1 56 2.50
1 57 9.74
1 58 8.11
1 59 9.40
1 60 6.23
1 61 7.11
1 62 2.44
1 63 2.59
1 64 5.52
1 65 9.01
1 66 4.27
1 67 7.01
1 68 3.14
1 69 7.87
1 70 1.87
1 71 1.00
1 72 2.86
1 73 0.40
1 74 8.41
1 75 6.86
1 76 9.37
1 77 9.96
1 78 6.11
1 79 1.13
1 80 8.36
1 81 5.35
1 82 2.92
1 83 0.15
1 84 8.72
1 85 7.67
1 86 2.82
1 87 9.94
1 88 4.42
1 89 3.57
1 90 1.26
1 91 6.92
1 92 8.65
1 93 9.63
1 94 8.55
1 95 8.63
1 96 0.43
1 97 6.67
1 98 6.29
1 99 6.38
2 3 9.25
2 4 7.22
2 5 6.64
2 6 2.91
2 7 8.43
2 8 3.21
2 9 4.55
2 10 6.31
2 11 3.56
2 12 7.66
2 13 9.70
2 14 3.44
2 15 3.34
2 16 9.35
2 17 0.58
2 18 1.37
2 19 1.52
2 20 8.16
2 21 4.29
2 22 6.00
2 23 2.99
2 24 9.32
2 25 4.19
2 26 4.60
2 27 1.84
2 28 1.91
2 29 7.04
2 30 8.21
2 31 2.48
2 32 3.01
2 33 8.01
2 34 9.45
2 35 9.13
2 36 8.14
2 37 9.06
2 38 0.03
2 39 3.29
2 40 9.51
2 41 4.08
2 42 8.14
2 43 2.82
2 44 7.70
2 45 1.88
2 46 9.98
2 47 0.01
2 48 8.61
2 49 0.64
2 50 3.15
2 51 6.11
2 52 9.83
2 53 6.91
2 54 9.99
2 55 1.01
2 56 8.96
2 57 3.02
2 58 8.61
2 59 3.16
2 60 9.29
2 61 8.03
2 62 7.04
2 63 4.12
2 64 6.54
2 65 4.23
2 66 9.12
2 67 3.12
2 68 0.77
2 69 7.66
2 70 9.86
2 71 6.60
2 72 6.86
2 73 3.78
2 74 6.44
2 75 8.96
2 76 6.65
2 77 6.07
2 78 0.26
2 79 5.81
2 80 2.97
2 81 7.51
2 82 3.48
2 83 3.29
2 84 7.77
2 85 3.30
2 86 4.68
2 87 1.07
2 88 3.93
2 89 0.96
2 90 6.01
2 91 8.23
2 92 0.01
2 93 5.11
2 94 3.73
2 95 1.83
2 96 0.26
2 97 8.40
2 98 1.05
2 99 4.67
3 4 7.96
3 5 7.38
3 6 6.35
3 7 7.24
3 8 7.77
3 9 0.85
3 10 9.66
3 11 5.02
3 12 9.12
3 13 5.33
3 14 2.16
3 15 0.70
3 16 4.07
3 17 9.25
3 18 0.10
3 19 4.58
3 20 0.21
3 21 0.74
3 22 4.36
3 23 1.30
3 24 9.45
3 25 5.05
3 26 9.12
3 27 7.17
3 28 5.39
3 29 8.92
3 30 9.36
3 31 5.44
3 32 3.60
3 33 0.34
3 34 1.82
3 35 2.79
3 36 8.47
3 37 5.87
3 38 7.57
