100 10
0 1 0.73
0 2 3.98
0 3 8.92
0 4 0.12
0 5 2.75
0 6 0.00
0 7 2.03
0 8 8.57
0 9 1.31
0 10 8.36
0 11 1.23
0 12 2.27
0 13 5.97
0 14 5.61
0 15 2.25
0 16 9.28
0 17 3.69
0 18 2.21
0 19 4.31
0 20 2.94
0 21 8.31
0 22 8.03
0 23 7.71
0 24 3.69
0 25 7.17
0 26 8.30
0 27 7.03
0 28 5.53
0 29 1.90
0 30 0.21
0 31 1.99
0 32 4.79
0 33 8.65
0 34 1.00
0 35 6.62
0 36 5.83
0 37 9.71
0 38 8.82
0 39 7.31
0 40 3.02
0 41 7.29
0 42 0.54
0 43 6.92
0 44 0.39
0 45 4.98
0 46 4.58
0 47 9.58
0 48 5.75
0 49 5.05
0 50 4.02
0 51 3.74
0 52 7.19
0 53 6.80
0 54 7.28
0 55 6.70
0 56 7.05
0 57 0.55
0 58 4.19
0 59 2.24
0 60 5.04
0 61 9.60
0 62 0.86
0 63 5.17
0 64 4.76
0 65 0.81
0 66 0.43
0 67 8.13
0 68 9.25
0 69 0.11
0 70 3.95
0 71 9.07
0 72 5.30
0 73 9.70
0 74 3.75
0 75 1.95
0 76 7.50
0 77 9.82
0 78 1.10
0 79 9.81
0 80 0.44
0 81 8.86
0 82 0.39
0 83 8.76
0 84 5.94
0 85 3.88
0 86 1.97
0 87 6.59
0 88 2.32
0 89 7.45
0 90 5.61
0 91 0.68
0 92 5.72
0 93 6.98
0 94 2.90
0 95 1.62
0 96 5.36
0 97 4.75
0 98 2.31
0 99 2.38
1 2 5.96
1 3 4.57
1 4 0.77
1 5 2.48
1 6 5.09
1 7 0.11
1 8 0.94
1 9 2.19
1 10 3.52
1 11 7.18
1 12 4.28
1 13 9.05
1 14 0.65
1 15 6.22
1 16 9.13
1 17 3.11
1 18 7.08
1 19 1.75
1 20 1.93
1 21 6.07
1 22 4.94
1 23 3.49
1 24 7.10
1 25 8.18
1 26 9.96
1 27 4.76
1 28 2.68
1 29 6.96
1 30 0.88
1 31 2.46
1 32 1.94
1 33 3.82
1 34 8.52
1 35 0.69
1 36 5.38
1 37 3.75
1 38 2.75
1 39 0.82
1 40 4.57
1 41 9.35
1 42 7.78
1 43 4.49
1 44 5.64
1 45 1.32
1 46 5.68
1 47 2.56
1 48 4.21
1 49 2.23
1 50 5.89
1 51 5.19
1 52 2.53
1 53 4.46
1 54 4.77
1 55 6.05
1 56 6.62
1 57 9.25
1 58 6.67
1 59 6.76
1 60 5.98
1 61 8.55
1 62 9.86
1 63 6.22
1 64 3.13
1 65 8.53
1 66 3.49
1 67 8.47
1 68 8.37
1 69 5.61
1 70 8.88
1 71 0.23
1 72 6.40
1 73 2.51
1 74 3.86
1 75 9.27
1 76 6.81
1 77 5.22
1 78 1.01
1 79 1.05
1 80 5.37
1 81 1.96
1 82 8.17
1 83 4.94
1 84 4.31
1 85 4.87
1 86 7.64
1 87 3.38
1 88 0.99
1 89 3.49
1 90 9.47
1 91 1.38
1 92 4.58
1 93 3.30
1 94 9.82
1 95 9.96
1 96 0.56
1 97 4.87
1 98 2.35
1 99 9.96
2 3 3.82
2 4 4.20
2 5 6.29
2 6 1.17
2 7 3.42
2 8 2.09
2 9 2.36
2 10 1.04
2 11 4.35
2 12 7.46
2 13 2.67
2 14 2.71
2 15 2.72
2 16 6.40
2 17 2.72
2 18 8.09
2 19 6.13
2 20 9.63
2 21 0.51
2 22 8.57
2 23 4.13
2 24 0.96
2 25 2.44
2 26 2.93
2 27 1.70
2 28 6.07
2 29 8.52
2 30 2.87
2 31 9.55
2 32 0.05
2 33 9.99
2 34 2.49
2 35 6.63
2 36 9.00
2 37 6.22
2 38 3.57
2 39 3.77
2 40 1.34
2 41 0.27
2 42 9.67
2 43 8.73
2 44 0.34
2 45 3.09
2 46 6.44
2 47 3.50
2 48 6.09
2 49 0.34
2 50 2.36
2 51 5.26
2 52 6.77
2 53 2.81
2 54 9.86
2 55 10.00
2 56 6.51
2 57 9.28
2 58 1.34
2 59 2.21
2 60 0.66
2 61 5.21
2 62 7.32
2 63 8.37
2 64 0.74
2 65 0.68
2 66 1.97
2 67 6.05
2 68 4.48
2 69 7.11
2 70 6.13
2 71 4.41
2 72 2.69
2 73 6.41
2 74 1.19
2 75 1.55
2 76 3.99
2 77 5.32
2 78 0.24
2 79 7.13
2 80 5.32
2 81 3.29
2 82 0.78
2 83 0.47
2 84 5.55
2 85 4.01
2 86 8.97
2 87 2.14
2 88 3.27
2 89 6.36
2 90 7.92
2 91 3.95
2 92 7.22
2 93 9.79
2 94 6.57
2 95 6.92
2 96 6.30
2 97 1.41
2 98 0.22
2 99 7.92
3 4 0.13
3 5 3.55
3 6 5.86
3 7 0.41
3 8 2.54
3 9 3.52
3 10 2.12
3 11 7.94
3 12 3.39
3 13 9.46
3 14 9.62
3 15 3.66
3 16 6.17
3 17 4.99
3 18 9.38
3 19 4.58
3 20 9.51
3 21 5.34
3 22 2.23
3 23 9.17
3 24 6.58
3 25 0.35
3 26 5.56
3 27 9.28
3 28 9.75
3 29 1.60
3 30 8.68
3 31 6.93
3 32 0.35
3 33 3.08
3 34 3.93
3 35 2.03
3 36 1.74
3 37 8.14
3 38 8.45
3 39 8.25
3 40 6.39
3 41 7.27
3 42 4.76
3 43 7.80
3 44 5.53
3 45 6.29
3 46 2.94
3 47 3.88
3 48 0.62
3 49 7.49
3 50 7.76
3 51 3.07
3 52 3.34
3 53 4.32
3 54 3.08
3 55 0.79
3 56 2.86
3 57 3.16
3 58 7.86
3 59 5.68
3 60 9.75
3 61 8.30
3 62 5.83
3 63 7.72
3 64 5.61
3 65 7.91
3 66 9.79
3 67 5.17
3 68 5.10
3 69 3.92
3 70 9.35
3 71 0.91
3 72 2.93
3 73 2.57
3 74 2.15
3 75 9.12
3 76 0.94
3 77 4.45
3 78 8.02
3 79 1.38
3 80 2.10
3 81 4.35
3 82 6.64
3 83 8.32
3 84 7.74
3 85 3.02
3 86 2.75
3 87 1.62
3 88 3.79
3 89 5.74
3 90 8.13
3 91 1.59
3 92 5.44
3 93 7.35
3 94 7.38
3 95 5.35
3 96 6.35
3 97 7.06
3 98 1.28
3 99 8.71
4 5 8.13
4 6 6.45
4 7 3.05
4 8 3.51
4 9 5.61
4 10 3.34
4 11 5.65
4 12 9.74
4 13 3.04
4 14 8.65
4 15 4.65
4 16 3.05
4 17 9.82
4 18 5.06
4 19 4.79
4 20 9.79
4 21 6.05
4 22 1.67
4 23 5.82
4 24 0.67
4 25 0.72
4 26 2.07
4 27 7.32
4 28 1.29
4 29 2.85
4 30 5.89
4 31 6.91
4 32 5.59
4 33 8.11
4 34 0.20
4 35 5.25
4 36 0.24
4 37 5.57
4 38 4.80
4 39 7.44
4 40 3.66
4 41 9.19
4 42 8.71
4 43 5.70
4 44 4.57
4 45 2.14
4 46 2.77
4 47 3.75
4 48 7.15
4 49 8.28
4 50 2.00
4 51 1.23
4 52 2.97
4 53 2.84
4 54 0.21
4 55 0.75
4 56 8.59
4 57 5.52
4 58 9.48
4 59 8.68
4 60 6.67
4 61 0.72
4 62 7.79
4 63 3.32
4 64 1.65
4 65 2.47
4 66 1.01
4 67 7.03
4 68 0.68
4 69 3.11
4 70 7.50
4 71 1.73
4 72 3.62
4 73 0.17
4 74 2.18
4 75 4.45
4 76 3.45
4 77 8.60
4 78 4.09
4 79 5.61
4 80 9.03
4 81 9.23
4 82 3.61
4 83 5.74
4 84 3.17
4 85 8.82
4 86 7.06
4 87 9.99
4 88 0.64
4 89 4.51
4 90 8.84
4 91 4.54
4 92 3.68
4 93 1.55
4 94 9.96
4 95 7.73
4 96 1.49
4 97 5.30
4 98 1.87
4 99 9.26
5 6 5.44
5 7 3.50
5 8 1.38
5 9 5.02
5 10 9.90
5 11 1.63
5 12 1.03
5 13 7.33
5 14 5.57
5 15 0.72
5 16 0.90
5 17 3.48
5 18 6.07
5 19 7.91
5 20 1.89
5 21 7.92
5 22 3.52
5 23 8.20
5 24 2.67
5 25 0.02
5 26 2.92
5 27 4.61
5 28 3.18
5 29 3.13
5 30 8.65
5 31 7.09
5 32 8.56
5 33 1.86
5 34 0.09
5 35 2.94
5 36 9.89
5 37 2.15
5 38 8.22
5 39 6.82
5 40 9.27
5 41 7.97
5 42 5.46
5 43 2.26
5 44 9.93
5 45 4.09
5 46 2.96
5 47 8.54
5 48 0.82
5 49 1.59
5 50 0.26
5 51 5.78
5 52 8.66
5 53 8.52
5 54 4.01
5 55 6.01
5 56 7.46
5 57 7.93
5 58 5.28
5 59 6.77
5 60 3.19
5 61 5.19
5 62 4.32
5 63 8.29
5 64 3.53
5 65 4.10
5 66 1.59
5 67 8.11
5 68 3.13
5 69 7.70
5 70 6.35
5 71 9.46
5 72 5.48
5 73 3.72
