500 50
0 1 5.65
0 2 2.49
0 3 1.31
0 4 1.19
0 5 4.86
0 6 6.7
0 7 4.6
0 8 6.34
0 9 0.3
0 10 1.1
0 11 0.06
0 12 1.86
0 13 1.68
0 14 0.26
0 15 0.84
0 16 3.17
0 17 3.27
0 18 9.58
0 19 0.27
0 20 2.31
0 21 2.44
0 22 8.55
0 23 6.3
0 24 1.79
0 25 6.43
0 26 7.48
0 27 0.24
0 28 6.28
0 29 3.7
0 30 6.69
0 31 5.88
0 32 0.27
0 33 6.94
0 34 6.08
0 35 8.83
0 36 5.2
0 37 9.85
0 38 4.5
0 39 0.57
0 40 5.7
0 41 5.54
0 42 8.03
0 43 4.76
0 44 8.62
0 45 9.8
0 46 1.08
0 47 6.66
0 48 0.12
0 49 8.37
0 50 1.4
0 51 6.63
0 52 7.24
0 53 0.48
0 54 6.58
0 55 8.52
0 56 1.41
0 57 9
0 58 8.17
0 59 0.86
0 60 5.28
0 61 8.79
0 62 4.43
0 63 10
0 64 3.78
0 65 8.84
0 66 3.72
0 67 1.81
0 68 1.74
0 69 2.69
0 70 7.49
0 71 5.09
0 72 0.82
0 73 0.66
0 74 2.33
0 75 7.53
0 76 6.51
0 77 0.95
0 78 6.33
0 79 8.49
0 80 7.91
0 81 2.27
0 82 5.7
0 83 6.86
0 84 5.88
0 85 6.31
0 86 0.12
0 87 8.97
0 88 3.18
0 89 5.71
0 90 0.4
0 91 6.19
0 92 5.2
0 93 2.97
0 94 8.31
0 95 0.7
0 96 4.39
0 97 4.46
0 98 2.57
0 99 2.36
0 100 6.33
0 101 5.06
0 102 0.71
0 103 4.2
0 104 6.21
0 105 9.76
0 106 2.76
0 107 5.63
0 108 8.18
0 109 8.08
0 110 0.87
0 111 7.88
0 112 0.2
0 113 2.94
0 114 5.35
0 115 4.46
0 116 8.79
0 117 9.03
0 118 9.52
0 119 5.12
0 120 1.93
0 121 3.13
0 122 7.97
0 123 5.48
0 124 4.35
0 125 5.99
0 126 1.92
0 127 6.14
0 128 1.24
0 129 2.43
0 130 2.01
0 131 1.78
0 132 5.44
0 133 2.69
0 134 2.5
0 135 8.92
0 136 4.92
0 137 7.04
0 138 6.48
0 139 9.93
0 140 8.47
0 141 2.9
0 142 4.05
0 143 8.69
0 144 3.54
0 145 4.44
0 146 2.05
0 147 1.16
0 148 4.55
0 149 5.55
0 150 2.96
0 151 5.9
0 152 3.37
0 153 8.55
0 154 2
0 155 2.5
0 156 4.3
0 157 3.23
0 158 7.35
0 159 1.06
0 160 7.36
0 161 2.43
0 162 9.52
0 163 0.45
0 164 3.26
0 165 0.05
0 166 0.42
0 167 0.73
0 168 5.88
0 169 1
0 170 9.8
0 171 5.32
0 172 6.41
0 173 8.23
0 174 1.35
0 175 3.05
0 176 1.61
0 177 3.9
0 178 2.63
0 179 6.08
0 180 8.58
0 181 1.17
0 182 7.83
0 183 4.76
0 184 3.3
0 185 9.04
0 186 9.83
0 187 3.79
0 188 4.45
0 189 2.59
0 190 0.23
0 191 5.31
0 192 2.62
0 193 0.63
0 194 4.19
0 195 6.17
0 196 7.54
0 197 4.37
0 198 4.47
0 199 7.38
0 200 2.06
0 201 0.93
0 202 0.34
0 203 0.38
0 204 5.31
0 205 5.88
0 206 1.98
0 207 6.86
0 208 6.74
0 209 2.04
0 210 8.53
0 211 5.05
0 212 0.73
0 213 6.42
0 214 7.62
0 215 3.2
0 216 7.18
0 217 5.79
0 218 5.04
0 219 5.02
0 220 3.83
0 221 1.35
0 222 7.22
0 223 1.04
0 224 0.68
0 225 7.97
0 226 2.21
0 227 8.45
0 228 7.89
0 229 6.44
0 230 4.57
0 231 6.5
0 232 7.57
0 233 8.59
0 234 0.73
0 235 4.98
0 236 6.8
0 237 1.31
0 238 4.39
0 239 5.41
0 240 3.46
0 241 2.44
0 242 0.85
0 243 9.69
0 244 0.82
0 245 5.31
0 246 2.24
0 247 7.86
0 248 9.82
